timestamp,open,high,low,close
1759276800000,3862.775,3864.325,3862.245,3864.325
1759277100000,3864.355,3864.795,3863.395,3864.145
1759277400000,3864.225,3865.005,3863.915,3864.915
1759277700000,3864.945,3865.125,3864.205,3864.648
1759278000000,3864.648,3864.748,3863.355,3863.848
1759278300000,3863.815,3863.848,3860.998,3860.998
1759278600000,3860.998,3861.635,3858.445,3860.058
1759278900000,3860.015,3861.145,3858.985,3861.135
1759279200000,3861.105,3864.598,3860.995,3863.348
1759279500000,3863.348,3863.948,3862.298,3863.385
1759279800000,3863.448,3863.495,3861.905,3861.965
1759280100000,3861.895,3862.148,3860.235,3860.235
1759280400000,3860.248,3862.575,3859.265,3860.498
1759280700000,3860.498,3860.698,3858.985,3858.998
1759281000000,3859.048,3862.775,3859.048,3862.005
1759281300000,3862.035,3864.185,3861.198,3863.535
1759281600000,3863.555,3864.295,3862.125,3864.005
1759281900000,3863.975,3864.965,3863.645,3864.765
1759282200000,3864.775,3865.295,3863.645,3863.945
1759282500000,3863.915,3865.595,3863.725,3864.715
1759282800000,3864.675,3866.105,3864.665,3865.875
1759283100000,3865.895,3868.585,3865.645,3868.255
1759283400000,3867.925,3868.715,3865.395,3867.335
1759283700000,3867.365,3868.795,3867.335,3868.775
1759284000000,3868.805,3871.005,3868.215,3870.615
1759284300000,3870.965,3875.295,3870.965,3872.895
1759284600000,3872.798,3874.725,3867.075,3867.305
1759284900000,3867.335,3870.475,3866.595,3867.698
1759285200000,3867.898,3868.498,3864.535,3864.945
1759285500000,3864.985,3867.625,3864.495,3866.055
1759285800000,3865.975,3867.185,3864.505,3865.048
1759286100000,3865.048,3865.398,3863.948,3865.148
1759286400000,3865.165,3866.348,3864.195,3865.498
1759286700000,3865.498,3865.998,3864.348,3865.735
1759287000000,3865.755,3866.745,3858.115,3860.635
1759287300000,3860.765,3864.145,3860.475,3863.165
1759287600000,3863.035,3866.265,3859.635,3859.668
1759287900000,3859.668,3862.145,3858.678,3861.615
1759288200000,3861.565,3863.195,3859.455,3861.985
1759288500000,3861.995,3862.925,3861.185,3862.715
1759288800000,3862.715,3863.985,3862.095,3863.205
1759289100000,3863.185,3863.875,3862.515,3863.465
1759289400000,3863.435,3864.195,3859.505,3859.865
1759289700000,3859.865,3860.195,3855.385,3859.455
1759290000000,3859.365,3863.895,3859.255,3863.755
1759290300000,3863.725,3864.465,3862.148,3862.865
1759290600000,3862.845,3863.065,3860.565,3862.355
1759290900000,3862.375,3862.415,3861.285,3861.875
1759291200000,3861.875,3864.385,3861.605,3862.845
1759291500000,3862.815,3863.025,3858.625,3860.205
1759291800000,3860.235,3861.548,3858.125,3860.498
1759292100000,3860.455,3861.115,3859.698,3860.935
1759292400000,3860.965,3862.435,3860.185,3861.035
1759292700000,3861.055,3861.295,3860.055,3860.775
1759293000000,3860.805,3861.255,3858.305,3858.405
1759293300000,3858.385,3858.675,3857.395,3857.505
1759293600000,3857.465,3858.785,3857.295,3858.655
1759293900000,3858.655,3861.355,3858.635,3860.235
1759294200000,3860.225,3863.415,3860.195,3862.925
1759294500000,3862.895,3864.845,3862.525,3864.705
